studentId,Predmet,BrojKredita,Ocjena,PolozioDatum,Godina,SkolskaGodina,Semestar,Priznat,datum_upisa,Spol,ZavrsenaSkolaId,Srednja_skola,opstina_rodjenja,GodinaZavrsetka,datum_diplomiranja,nacin_studiranja,opstina_prebivalista
17594,P-177,7,10,1. listopada 2018.,2,2018/2019,3,True,20. studenog 2018.,M,2,Elektrotehnièka,Mostar,2008/2009,,DL,Sarajevo-Novo Sarajevo
16573,P-150,7,9,1. listopada 2018.,3,2018/2019,5,True,7. studenog 2018.,,1,Gimnazija,Mostar,2010/2011,,DL,Bugojno
16322,P-177,7,6,28. sijeènja 2021.,2,2019/2020,3,False,17. srpnja 2018.,M,3,Mainska,Mostar,2017/2018,,Redovan samofinansirajuæi,Mostar
16533,P-177,7,9,8. rujna 2021.,2,2019/2020,3,True,4. listopada 2018.,M,18,Medresa,Tuzla,2017/2018,,DL,Gradaèac
16496,P-177,7,7,18. veljaèe 2021.,2,2019/2020,3,False,21. srpnja 2018.,M,2,Elektrotehnièka,Sarajevo - Centar,2017/2018,,DL,Sarajevo-Stari grad
16384,P-177,7,7,18. veljaèe 2020.,2,2019/2020,3,False,19. srpnja 2018.,M,2,Elektrotehnièka,Tuzla,2017/2018,,Redovan samofinansirajuæi,Tuzla
16403,P-177,7,7,4. rujna 2020.,2,2019/2020,3,False,19. srpnja 2018.,M,18,Medresa,Tuzla,2017/2018,,Redovan samofinansirajuæi,Kalesija
16403,P-150,7,9,8. srpnja 2021.,3,2020/2021,5,False,19. srpnja 2018.,M,18,Medresa,Tuzla,2017/2018,,Redovan samofinansirajuæi,Kalesija
16384,P-150,7,8,17. rujna 2021.,3,2020/2021,5,False,19. srpnja 2018.,M,2,Elektrotehnièka,Tuzla,2017/2018,,Redovan samofinansirajuæi,Tuzla
16384,P-157,7,8,7. prosinca 2022.,3,2020/2021,6,False,19. srpnja 2018.,M,2,Elektrotehnièka,Tuzla,2017/2018,,Redovan samofinansirajuæi,Tuzla
16431,P-177,7,6,14. rujna 2021.,2,2020/2021,3,False,20. srpnja 2018.,M,18,Medresa,Zenica,2017/2018,,DL,Zenica
16483,P-177,7,6,27. sijeènja 2022.,2,2019/2020,3,False,20. srpnja 2018.,M,13,Tehnièka,Travnik,2017/2018,,DL,Fojnica
16442,P-177,7,7,14. rujna 2021.,2,2019/2020,3,False,20. srpnja 2018.,M,23,Mjeovita srednja kola,Bihaæ,2017/2018,,DL,Bosanska Krupa
16450,P-177,7,6,27. sijeènja 2022.,2,2019/2020,3,False,20. srpnja 2018.,M,2,Elektrotehnièka,Gorade,2017/2018,,DL,Gorade
16440,P-177,7,9,18. veljaèe 2021.,2,2019/2020,3,False,20. srpnja 2018.,M,2,Elektrotehnièka,Sarajevo - Centar,2017/2018,,DL,Sarajevo - Novi grad
16444,P-177,7,6,27. sijeènja 2022.,2,2019/2020,3,False,20. srpnja 2018.,M,2,Elektrotehnièka,Sarajevo - Centar,2017/2018,,DL,Sarajevo - Centar
16483,P-150,7,9,12. rujna 2023.,3,2021/2022,5,False,20. srpnja 2018.,M,13,Tehnièka,Travnik,2017/2018,,DL,Fojnica
