studentId;Predmet;BrojKredita;Ocjena;PolozioDatum;Godina;SkolskaGodina;Semestar;Priznat;datum_upisa;Spol;ZavrsenaSkolaId;Srednja_skola;opstina_rodjenja;GodinaZavrsetka;datum_diplomiranja;nacin_studiranja;opstina_prebivalista
16574;P-225;6;6;6. srpnja 2022.;2;2020/2021;3;FALSE;7. studenog 2018.;M;2;Elektrotehnièka;Jablanica;2013/2014;;DL;Mostar
16413;P-233;5;7;19. veljaèe 2022.;3;2020/2021;6;FALSE;18. srpnja 2018.;Ž;1;Gimnazija;Gornji Vakuf;2014/15;;DL;Gornji Vakuf - Uskoplje
16503;P-233;5;10;11. rujna 2021.;3;2020/2021;6;FALSE;21. srpnja 2018.;M;1;Gimnazija;Banja Luka;1999/2000;;DL;Sarajevo - Novi grad
16574;P-233;5;7;5. veljaèe 2022.;3;2021/2022;6;FALSE;7. studenog 2018.;M;2;Elektrotehnièka;Jablanica;2013/2014;;DL;Mostar
16413;P-230;5;7;20. veljaèe 2022.;3;2020/2021;5;FALSE;18. srpnja 2018.;Ž;1;Gimnazija;Gornji Vakuf;2014/15;;DL;Gornji Vakuf - Uskoplje
16574;P-230;5;9;24. prosinca 2022.;3;2021/2022;5;FALSE;7. studenog 2018.;M;2;Elektrotehnièka;Jablanica;2013/2014;;DL;Mostar
16503;P-230;5;7;27. veljaèe 2021.;3;2020/2021;5;FALSE;21. srpnja 2018.;M;1;Gimnazija;Banja Luka;1999/2000;;DL;Sarajevo - Novi grad
16508;P-230;5;6;10. rujna 2020.;3;2019/2020;5;TRUE;21. srpnja 2018.;M;2;Elektrotehnièka;Sarajevo-Stari grad;2016/17;;Redovan samofinansirajuæi;Sarajevo-Stari grad
16503;P-50;6;10;9. rujna 2021.;3;2020/2021;5;FALSE;21. srpnja 2018.;M;1;Gimnazija;Banja Luka;1999/2000;;DL;Sarajevo - Novi grad
16574;P-50;6;7;24. ožujka 2022.;3;2021/2022;5;FALSE;7. studenog 2018.;M;2;Elektrotehnièka;Jablanica;2013/2014;;DL;Mostar
16413;P-50;6;8;24. ožujka 2022.;3;2020/2021;5;FALSE;18. srpnja 2018.;Ž;1;Gimnazija;Gornji Vakuf;2014/15;;DL;Gornji Vakuf - Uskoplje
16503;P-229;6;9;15. rujna 2021.;3;2020/2021;5;FALSE;21. srpnja 2018.;M;1;Gimnazija;Banja Luka;1999/2000;;DL;Sarajevo - Novi grad
16574;P-229;6;9;21. rujna 2022.;3;2021/2022;5;FALSE;7. studenog 2018.;M;2;Elektrotehnièka;Jablanica;2013/2014;;DL;Mostar
16413;P-229;6;8;31. ožujka 2022.;3;2020/2021;5;FALSE;18. srpnja 2018.;Ž;1;Gimnazija;Gornji Vakuf;2014/15;;DL;Gornji Vakuf - Uskoplje
16413;P-153;6;7;31. sijeènja 2022.;3;2020/2021;5;FALSE;18. srpnja 2018.;Ž;1;Gimnazija;Gornji Vakuf;2014/15;;DL;Gornji Vakuf - Uskoplje
16574;P-153;6;6;22. lipnja 2022.;3;2021/2022;5;FALSE;7. studenog 2018.;M;2;Elektrotehnièka;Jablanica;2013/2014;;DL;Mostar
16503;P-153;6;8;22. veljaèe 2021.;3;2020/2021;5;FALSE;21. srpnja 2018.;M;1;Gimnazija;Banja Luka;1999/2000;;DL;Sarajevo - Novi grad
16574;P-150;7;8;28. ožujka 2023.;3;2021/2022;5;FALSE;7. studenog 2018.;M;2;Elektrotehnièka;Jablanica;2013/2014;;DL;Mostar
16503;P-150;7;10;21. veljaèe 2023.;3;2020/2021;5;FALSE;21. srpnja 2018.;M;1;Gimnazija;Banja Luka;1999/2000;;DL;Sarajevo - Novi grad
16413;P-152;6;6;25. veljaèe 2022.;3;2020/2021;6;FALSE;18. srpnja 2018.;Ž;1;Gimnazija;Gornji Vakuf;2014/15;;DL;Gornji Vakuf - Uskoplje
16574;P-152;6;8;23. ožujka 2023.;3;2021/2022;6;FALSE;7. studenog 2018.;M;2;Elektrotehnièka;Jablanica;2013/2014;;DL;Mostar
16503;P-152;6;8;23. lipnja 2021.;3;2020/2021;6;FALSE;21. srpnja 2018.;M;1;Gimnazija;Banja Luka;1999/2000;;DL;Sarajevo - Novi grad
16401;P-146;7;7;22. srpnja 2021.;2;2019/2020;4;FALSE;19. srpnja 2018.;M;2;Elektrotehnièka;Mostar;2015/16;;DL;Mostar
16408;P-146;7;6;14. veljaèe 2023.;2;2019/2020;4;FALSE;19. srpnja 2018.;Ž;1;Gimnazija;Sanski Most;2016/2017;;DL;Sanski Most
16409;P-146;7;6;7. veljaèe 2023.;2;2019/2020;4;FALSE;19. srpnja 2018.;M;3;Mašinska;Tuzla;2014/15;;DL;Lukavac
16409;P-145;6;6;7. srpnja 2020.;2;2019/2020;3;FALSE;19. srpnja 2018.;M;3;Mašinska;Tuzla;2014/15;;DL;Lukavac
16408;P-145;6;6;21. veljaèe 2020.;2;2019/2020;3;FALSE;19. srpnja 2018.;Ž;1;Gimnazija;Sanski Most;2016/2017;;DL;Sanski Most
16414;P-145;6;7;18. rujna 2020.;2;2019/2020;3;FALSE;19. srpnja 2018.;M;2;Elektrotehnièka;Goražde;2014/15;;DL;Sarajevo
16401;P-145;6;6;20. sijeènja 2020.;2;2019/2020;3;FALSE;19. srpnja 2018.;M;2;Elektrotehnièka;Mostar;2015/16;;DL;Mostar
16401;P-147;7;8;15. srpnja 2021.;2;2019/2020;4;FALSE;19. srpnja 2018.;M;2;Elektrotehnièka;Mostar;2015/16;;DL;Mostar
16414;P-147;7;8;15. srpnja 2021.;2;2019/2020;4;FALSE;19. srpnja 2018.;M;2;Elektrotehnièka;Goražde;2014/15;;DL;Sarajevo
16408;P-147;7;6;25. rujna 2020.;2;2019/2020;4;FALSE;19. srpnja 2018.;Ž;1;Gimnazija;Sanski Most;2016/2017;;DL;Sanski Most
16409;P-147;7;6;15. srpnja 2021.;2;2019/2020;4;FALSE;19. srpnja 2018.;M;3;Mašinska;Tuzla;2014/15;;DL;Lukavac
16408;P-24;4;8;29. lipnja 2020.;2;2019/2020;4;FALSE;19. srpnja 2018.;Ž;1;Gimnazija;Sanski Most;2016/2017;;DL;Sanski Most
16401;P-24;4;8;29. lipnja 2020.;2;2019/2020;4;FALSE;19. srpnja 2018.;M;2;Elektrotehnièka;Mostar;2015/16;;DL;Mostar
16414;P-24;4;8;29. lipnja 2020.;2;2019/2020;4;FALSE;19. srpnja 2018.;M;2;Elektrotehnièka;Goražde;2014/15;;DL;Sarajevo
16409;P-24;4;7;17. srpnja 2020.;2;2019/2020;4;FALSE;19. srpnja 2018.;M;3;Mašinska;Tuzla;2014/15;;DL;Lukavac
16409;P-247;6;6;22. listopada 2021.;2;2019/2020;4;FALSE;19. srpnja 2018.;M;3;Mašinska;Tuzla;2014/15;;DL;Lukavac
16414;P-247;6;7;23. srpnja 2021.;2;2019/2020;4;FALSE;19. srpnja 2018.;M;2;Elektrotehnièka;Goražde;2014/15;;DL;Sarajevo
16401;P-247;6;6;10. rujna 2020.;2;2019/2020;4;FALSE;19. srpnja 2018.;M;2;Elektrotehnièka;Mostar;2015/16;;DL;Mostar
16408;P-247;6;7;8. rujna 2021.;2;2019/2020;4;FALSE;19. srpnja 2018.;Ž;1;Gimnazija;Sanski Most;2016/2017;;DL;Sanski Most
16408;P-226;6;7;20. veljaèe 2020.;2;2019/2020;3;FALSE;19. srpnja 2018.;Ž;1;Gimnazija;Sanski Most;2016/2017;;DL;Sanski Most
16414;P-226;6;6;20. veljaèe 2020.;2;2019/2020;3;FALSE;19. srpnja 2018.;M;2;Elektrotehnièka;Goražde;2014/15;;DL;Sarajevo
16401;P-226;6;8;26. rujna 2020.;2;2019/2020;3;FALSE;19. srpnja 2018.;M;2;Elektrotehnièka;Mostar;2015/16;;DL;Mostar
16409;P-226;6;6;8. srpnja 2020.;2;2019/2020;3;FALSE;19. srpnja 2018.;M;3;Mašinska;Tuzla;2014/15;;DL;Lukavac
16409;P-148;6;6;28. lipnja 2021.;2;2019/2020;4;FALSE;19. srpnja 2018.;M;3;Mašinska;Tuzla;2014/15;;DL;Lukavac
16408;P-148;6;8;28. lipnja 2021.;2;2019/2020;4;FALSE;19. srpnja 2018.;Ž;1;Gimnazija;Sanski Most;2016/2017;;DL;Sanski Most
16401;P-148;6;6;18. srpnja 2020.;2;2019/2020;4;FALSE;19. srpnja 2018.;M;2;Elektrotehnièka;Mostar;2015/16;;DL;Mostar
16414;P-177;7;7;1. rujna 2022.;2;2019/2020;3;FALSE;19. srpnja 2018.;M;2;Elektrotehnièka;Goražde;2014/15;;DL;Sarajevo
16401;P-177;7;6;18. veljaèe 2021.;2;2019/2020;3;FALSE;19. srpnja 2018.;M;2;Elektrotehnièka;Mostar;2015/16;;DL;Mostar
16408;P-177;7;6;17. veljaèe 2022.;2;2019/2020;3;FALSE;19. srpnja 2018.;Ž;1;Gimnazija;Sanski Most;2016/2017;;DL;Sanski Most
16409;P-177;7;6;11. sijeènja 2023.;2;2019/2020;3;FALSE;19. srpnja 2018.;M;3;Mašinska;Tuzla;2014/15;;DL;Lukavac
16409;P-227;5;7;2. rujna 2020.;2;2019/2020;3;FALSE;19. srpnja 2018.;M;3;Mašinska;Tuzla;2014/15;;DL;Lukavac
16408;P-227;5;7;14. veljaèe 2020.;2;2019/2020;3;FALSE;19. srpnja 2018.;Ž;1;Gimnazija;Sanski Most;2016/2017;;DL;Sanski Most
16401;P-227;5;6;14. veljaèe 2020.;2;2019/2020;3;FALSE;19. srpnja 2018.;M;2;Elektrotehnièka;Mostar;2015/16;;DL;Mostar
16414;P-227;5;7;27. sijeènja 2020.;2;2019/2020;3;FALSE;19. srpnja 2018.;M;2;Elektrotehnièka;Goražde;2014/15;;DL;Sarajevo
16414;P-225;6;8;1. rujna 2021.;2;2019/2020;3;FALSE;19. srpnja 2018.;M;2;Elektrotehnièka;Goražde;2014/15;;DL;Sarajevo
16401;P-225;6;7;12. rujna 2020.;2;2019/2020;3;FALSE;19. srpnja 2018.;M;2;Elektrotehnièka;Mostar;2015/16;;DL;Mostar
16408;P-225;6;6;17. veljaèe 2021.;2;2019/2020;3;FALSE;19. srpnja 2018.;Ž;1;Gimnazija;Sanski Most;2016/2017;;DL;Sanski Most
16409;P-225;6;8;26. sijeènja 2022.;2;2019/2020;3;FALSE;19. srpnja 2018.;M;3;Mašinska;Tuzla;2014/15;;DL;Lukavac
16401;P-233;5;9;11. rujna 2021.;3;2020/2021;6;FALSE;19. srpnja 2018.;M;2;Elektrotehnièka;Mostar;2015/16;;DL;Mostar
16408;P-233;5;10;5. veljaèe 2022.;3;2021/2022;6;FALSE;19. srpnja 2018.;Ž;1;Gimnazija;Sanski Most;2016/2017;;DL;Sanski Most
16409;P-233;5;8;10. rujna 2022.;3;2021/2022;6;FALSE;19. srpnja 2018.;M;3;Mašinska;Tuzla;2014/15;;DL;Lukavac
16414;P-233;5;8;23. rujna 2023.;3;2021/2022;6;FALSE;19. srpnja 2018.;M;2;Elektrotehnièka;Goražde;2014/15;;DL;Sarajevo
16401;P-230;5;7;4. rujna 2021.;3;2020/2021;5;FALSE;19. srpnja 2018.;M;2;Elektrotehnièka;Mostar;2015/16;;DL;Mostar
16414;P-230;5;8;20. veljaèe 2022.;3;2021/2022;5;FALSE;19. srpnja 2018.;M;2;Elektrotehnièka;Goražde;2014/15;;DL;Sarajevo
16409;P-230;5;10;29. sijeènja 2022.;3;2021/2022;5;FALSE;19. srpnja 2018.;M;3;Mašinska;Tuzla;2014/15;;DL;Lukavac
16408;P-230;5;10;10. rujna 2022.;3;2021/2022;5;FALSE;19. srpnja 2018.;Ž;1;Gimnazija;Sanski Most;2016/2017;;DL;Sanski Most
16408;P-50;6;10;25. sijeènja 2022.;3;2021/2022;5;FALSE;19. srpnja 2018.;Ž;1;Gimnazija;Sanski Most;2016/2017;;DL;Sanski Most
16409;P-50;6;7;24. ožujka 2022.;3;2021/2022;5;FALSE;19. srpnja 2018.;M;3;Mašinska;Tuzla;2014/15;;DL;Lukavac
16414;P-50;6;9;24. ožujka 2022.;3;2021/2022;5;FALSE;19. srpnja 2018.;M;2;Elektrotehnièka;Goražde;2014/15;;DL;Sarajevo
16401;P-50;6;9;18. veljaèe 2021.;3;2020/2021;5;FALSE;19. srpnja 2018.;M;2;Elektrotehnièka;Mostar;2015/16;;DL;Mostar
16408;P-229;6;8;30. ožujka 2023.;3;2021/2022;5;FALSE;19. srpnja 2018.;Ž;1;Gimnazija;Sanski Most;2016/2017;;DL;Sanski Most
16409;P-229;6;7;30. ožujka 2023.;3;2021/2022;5;FALSE;19. srpnja 2018.;M;3;Mašinska;Tuzla;2014/15;;DL;Lukavac
16401;P-229;6;7;18. veljaèe 2022.;3;2020/2021;5;FALSE;19. srpnja 2018.;M;2;Elektrotehnièka;Mostar;2015/16;;DL;Mostar
16401;P-153;6;6;1. veljaèe 2021.;3;2020/2021;5;FALSE;19. srpnja 2018.;M;2;Elektrotehnièka;Mostar;2015/16;;DL;Mostar
16409;P-153;6;6;30. kolovoza 2022.;3;2021/2022;5;FALSE;19. srpnja 2018.;M;3;Mašinska;Tuzla;2014/15;;DL;Lukavac
16408;P-153;6;9;4. studenog 2022.;3;2021/2022;5;FALSE;19. srpnja 2018.;Ž;1;Gimnazija;Sanski Most;2016/2017;;DL;Sanski Most
16401;P-150;7;9;31. listopada 2022.;3;2020/2021;5;FALSE;19. srpnja 2018.;M;2;Elektrotehnièka;Mostar;2015/16;;DL;Mostar
16401;P-157;7;7;20. veljaèe 2023.;3;2020/2021;6;FALSE;19. srpnja 2018.;M;2;Elektrotehnièka;Mostar;2015/16;;DL;Mostar
16401;P-152;6;7;16. srpnja 2021.;3;2020/2021;6;FALSE;19. srpnja 2018.;M;2;Elektrotehnièka;Mostar;2015/16;;DL;Mostar
